[2024-12-18 04:04:32 +0700] [30470] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:32 +0700] [30470] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:33 +0700] [30470] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:33 +0700] [30470] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:34 +0700] [30470] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:34 +0700] [30470] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:35 +0700] [30470] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:35 +0700] [30470] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:36 +0700] [30470] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:36 +0700] [30470] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:37 +0700] [30470] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:04:37 +0700] [30583] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:04:37 +0700] [30583] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:37 +0700] [30583] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:38 +0700] [30583] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:38 +0700] [30583] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:39 +0700] [30583] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:39 +0700] [30583] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:40 +0700] [30583] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:40 +0700] [30583] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
